model,RMSE,MAPE,MAE
Baseline ARIMA,750.5361911456084,1.6086612759586494,557.6607268036938
XGBoost,348.9492773740456,0.8225220058452495,258.43995964064084
LSTM,2329.150703582746,5.675547122955322,1727.377197265625
